Kayttajanimi,Aikaleima,Kysymys,Arvo
1500,1.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,3
7469,3.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,2
7968,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
9253,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
21084,1.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
34725,2.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
123098,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,2
145789,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,5
222426,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,5
290520,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
369369,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,2
2905202010,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
029,1.6.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,4
0704,,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,
0907,29.5.2020,Minulle jaa riittavasti aikaa harrastuksille tyon tai koulun ohella,5
1500,1.6.2020,Herasin aamulla virkeana,2
7469,3.6.2020,Herasin aamulla virkeana,2
7968,29.5.2020,Herasin aamulla virkeana,4
9253,29.5.2020,Herasin aamulla virkeana,5
21084,1.6.2020,Herasin aamulla virkeana,2
34725,2.6.2020,Herasin aamulla virkeana,4
123098,29.5.2020,Herasin aamulla virkeana,3
145789,29.5.2020,Herasin aamulla virkeana,2
222426,29.5.2020,Herasin aamulla virkeana,4
290520,29.5.2020,Herasin aamulla virkeana,2
369369,29.5.2020,Herasin aamulla virkeana,4
2905202010,29.5.2020,Herasin aamulla virkeana,3
029,1.6.2020,Herasin aamulla virkeana,3
0704,,Herasin aamulla virkeana,
0907,29.5.2020,Herasin aamulla virkeana,4
1500,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,1
7469,3.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,4
7968,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,5
9253,1.6.2020,Pidan paivittain yhteytta minulle tarkeisiin ihmisiin,4
